%% angFreq	12h	24h	48h	72h	96h
0.01	29.5939	98.351	1853.85	1094.39	-751.347
0.01585	31.4095	-2446.04	1728.99	1150.72	138.246
0.02512	32.4403	677.093	1507.66	1139.8	341.255
0.03981	33.384	835.087	1442.63	1146.98	360.826
0.0631	34.6131	852.982	1453.29	1172.5	354.842
0.1	34.9565	1050.29	1537.04	1202.73	408.354
0.15849	36.4315	983.634	1524.81	1224.13	390.663
0.25119	37.0543	1040.28	1573.32	1251	409.016
0.39811	37.7908	1049.63	1594.17	1275	408.834
0.63096	39.5426	1069.38	1631.24	1301.03	424.034
1	40.7145	1103	1665.28	1329.92	438.199
1.5849	41.87	1122.46	1685.8	1356.61	445.287
2.51189	43.1802	1147.56	1718.87	1386.89	455.723
3.98105	44.5365	1173.2	1749.31	1413.28	466.155
6.30957	45.9878	1200.53	1781.11	1440.95	476.24
10.0001	47.5077	1227.86	1813.07	1471.22	486.964
15.849	49.5297	1264.34	1849.07	1502.17	496.902
25.1188	51.9219	1299.32	1876.21	1535.28	504.581
39.8105	57.0044	1323.13	1902.2	1562.9	507.79
63.0957	65.1886	1339.97	1899.6	1566.81	500.381
100	94.5406	1334.06	1823.05	1523.48	462.425
