angFreq,12h,24h,48h,72h,96h,,,,,,,,,,
0.01,29.5939,98.351,1853.85,1094.39,377.986870424319,5.083,-104.492,90.8051,133.692,40.626190116011,5.82213259885894,-0.941229950618229,20.4157035232603,8.18590491577656,9.30401963228526
0.015849,31.4095,-2446.04,1728.99,1150.72,313.465442551475,4.16046,983.645,31.5891,109.467,43.2416022969276,7.54952577359235,-2.48671014441186,54.7337530983789,10.5120264554615,7.24916344216384
0.0251189,32.4403,677.093,1507.66,1139.8,341.255,4.03683,183.327,31.1916,99.6465,40.626190116011,8.03608276791443,3.69336213432828,48.3354492876287,11.4384348672558,8.39987700115423
0.0398107,33.384,835.087,1442.63,1146.98,360.826,3.95656,-44.4283,73.7339,104.729,38.1689677456642,8.43763269102453,-18.7962852506173,19.5653559624542,10.9518853421688,9.45338638457122
0.0630957,34.6131,852.982,1453.29,1172.5,354.842,3.22682,109.362,140.179,105.655,45.9758,10.7266906737903,7.79961961193102,10.3673874118092,11.0974397804174,7.71801686974452
0.1,34.9565,1050.29,1537.04,1202.73,408.354,4.02867,137.769,140.889,110.838,47.824,8.67693308213381,7.62355827508366,10.909581301592,10.8512423537054,8.53868350618936
0.15849,36.4315,983.634,1524.81,1224.13,390.663,4.25275,65.7749,105.684,109.486,33.7161,8.56657456939628,14.9545495318123,14.4280118087885,11.1806989021427,11.5868383353947
0.251189,37.0543,1040.28,1573.32,1251,409.016,3.98939,61.9183,116.155,101.135,34.4838,9.28821198228301,16.8008488605146,13.5450045198227,12.369604983438,11.861105794605
0.398107,37.7908,1049.63,1594.17,1275,408.834,4.40693,92.0972,126.206,106.312,39.3643,8.57531206531531,11.3969805813858,12.6314913712502,11.9930017307548,10.3859080435826
0.630957,39.5426,1069.38,1631.24,1301.03,424.034,4.05463,101.586,127.273,106.312,42.0052,9.75245583444112,10.526844250192,12.8168582495895,12.2378470915795,10.0947977869407
1,40.7145,1103,1665.28,1329.92,438.199,4.59749,89.5152,127.492,108.315,38.9603,8.85581045309506,12.3219296834504,13.0618391742227,12.2782624751881,11.2473209908548
1.5849,41.87,1122.46,1685.8,1356.61,445.287,5.00501,97.4188,127.259,112.535,40.3862,8.36561765111358,11.522006019372,13.2470002121657,12.0550051095215,11.0257216573978
2.51189,43.1802,1147.56,1718.87,1386.89,455.723,5.25314,108.873,137.609,118.304,43.0615,8.21988372668537,10.5403543578298,12.4909707940614,11.7231031917771,10.583073046689
3.98105,44.5365,1173.2,1749.31,1413.28,466.155,5.79175,114.252,140.939,123.106,43.9585,7.6896447533129,10.2685292161188,12.4118235548713,11.4801878056309,10.6044337272655
6.30957,45.9878,1200.53,1781.11,1440.95,476.24,6.49943,127.15,155.618,132.296,46.9616,7.07566663538187,9.44184034604798,11.4453983472349,10.8918636995828,10.1410514122176
10.0001,47.5077,1227.86,1813.07,1471.22,486.964,7.37993,141.175,176.062,147.098,51.607,6.43741878310499,8.69743226491943,10.2979064193296,10.001631565351,9.43600674327126
15.849,49.5297,1264.34,1849.07,1502.17,496.902,8.94168,160.357,202.606,164.131,57.8821,5.53919397697077,7.88453263655469,9.12643258343781,9.15226252200986,8.58472653894727
25.1188,51.9219,1299.32,1876.21,1535.28,504.581,10.1948,166.47,228.034,190.898,68.8047,5.09297877349237,7.80513005346309,8.22776428076515,8.04241008287148,7.3335251806926
39.8105,57.0044,1323.13,1902.2,1562.9,507.79,14.7605,199.415,287.541,226.734,80.5084,3.86195589580299,6.6350575433142,6.61540441189257,6.89309940282446,6.30729215833379
63.0957,65.1886,1339.97,1899.6,1566.81,500.381,14.7584,249.669,341.497,279.509,90.9522,4.41705062879445,5.36698588931746,5.56256716750074,5.60557978455077,5.50158214974459
100,94.5406,1334.06,1823.05,1523.48,462.425,-14.4761,297.135,425.255,344.252,108.592,-6.53080594911613,4.48974371918488,4.28695723742225,4.42547900956276,4.25837078237808
