%% angFreq	12h	24h	48h	72h	96h
0.01	5.083	-104.492	90.8051	133.692	-246.317
0.01585	4.16046	983.645	31.5891	109.467	330.246
0.02512	4.03683	183.327	31.1916	99.6465	-8.30254
0.03981	3.95656	-44.4283	73.7339	104.729	4.13196
0.0631	3.22682	109.362	140.179	105.655	45.9758
0.1	4.02867	137.769	140.889	110.838	47.824
0.15849	4.25275	65.7749	105.684	109.486	33.7161
0.25119	3.98939	61.9183	116.155	101.135	34.4838
0.39811	4.40693	92.0972	126.206	106.312	39.3643
0.63096	4.05463	101.586	127.273	106.312	42.0052
1	4.59749	89.5152	127.492	108.315	38.9603
1.5849	5.00501	97.4188	127.259	112.535	40.3862
2.51189	5.25314	108.873	137.609	118.304	43.0615
3.98105	5.79175	114.252	140.939	123.106	43.9585
6.30957	6.49943	127.15	155.618	132.296	46.9616
10.0001	7.37993	141.175	176.062	147.098	51.607
15.849	8.94168	160.357	202.606	164.131	57.8821
25.1188	10.1948	166.47	228.034	190.898	68.8047
39.8105	14.7605	199.415	287.541	226.734	80.5084
63.0957	14.7584	249.669	341.497	279.509	90.9522
100	-14.4761	297.135	425.255	344.252	108.592
