%%angFreq	12h	24h	48h	72h	96h
0.01	1.03866	2.73498	0.40416	0.76333	0.00934
0.01585	1.38693	2.94848	0.40235	0.6838	0.00915
0.02512	1.50588	2.68379	0.4529	0.7021	0.00821
0.03981	1.70208	2.56929	0.38821	0.71934	0.00902
0.0631	1.80578	2.06268	0.34948	0.76484	0.00799
0.1	2.08188	2.12606	0.34533	0.77227	0.00896
0.15849	2.32201	1.75923	0.41879	0.75421	0.00799
0.25119	2.70238	2.2268	0.48611	0.81993	0.01161
0.39811	2.7697	2.36687	0.48649	0.923	0.01964
0.63096	3.1435	2.20653	0.51069	0.97398	0.01453
1	3.61768	2.55379	0.60729	1.09525	0.01883
1.5849	4.19525	2.60262	0.6391	1.21966	0.02232
2.51189	4.86551	2.81304	0.73983	1.39561	0.02962
3.98105	5.66527	3.2421	0.81445	1.57568	0.03855
6.30957	6.71671	3.66794	0.93061	1.81711	0.04862
10.0001	7.86706	4.428	1.06385	2.10928	0.08199
15.849	9.24578	5.30072	1.26392	2.49305	0.10933
25.1188	10.8202	6.01502	1.66619	2.75274	0.59524
39.8105	12.7905	9.51545	2.42166	3.15306	0.50929
63.0957	16.6869	8.67796	2.58296	3.16224	-1.84114
100	27.0665	-2.22331	-5.66627	22.1316	-44.8819
