%%angFreq 12h 24h 48h 72h 96h
0.01 3.01202728147194 8.72069 3.29159 2.37479 0.01171622
0.015849 3.59201252773665 9.88222 3.2713 2.61963 0.01312454
0.0251189 3.77736514666423 10.5991 3.2896 2.73463 0.01333648
0.0398107 4.24158 11.3131 3.3891 2.79354 0.01353422
0.0630957 4.90479 11.9706 3.43965 2.87234 0.0140825
0.1 5.42273 12.8018 3.54916 3.06019 0.0136722
0.15849 6.12904 12.37 3.68837 3.10798 0.01510534
0.251189 6.76039 12.6883 3.85075 3.28121 0.01454804
0.398107 7.58987 13.4361 3.91686 3.50644 0.01561408
0.630957 8.38562 14.1029 4.08595 3.61865 0.01621188
1 9.28596 14.5536 4.23289 3.76238 0.01479574
1.5849 10.3558 15.069 4.32618 3.9281158627361 0.011002471758858
2.51189 11.5523 15.7802 4.483 3.9281158627361 0.005193921038795
3.98105 12.9021 16.191 4.56927 4.02818912099021 0.00143432282438
6.30957 14.5651 16.8863 4.57823 3.48324784179234 0.000505406685228
10.0001 16.4039 17.2029 4.2829 1.42005760004754 0.000179832737468
15.849 18.4827 16.889 3.41428 0.020112122175576 0.000396094193418
25.1188 20.8934 15.1212 0.0679562 0.006 4.63857325893838E-05
39.8105 21.0378 8.67815 0.002644779462301 0.000578088534104 2.58441590281227E-05
63.0957 22.3286 0.012099977756959 9.80693724067522E-05 0.000209763997166 -0.055621454058579
100 22.6637541152384 9.80693724067522E-05 -70.1472 -2 -0.83845941834381
