%%AngFreq 12h 24h 48h 72h 96h
0.01 1.03866 2.73498 0.404156 0.763334 0.00934075
0.015849 1.38693 2.94848 0.402348 0.683799 0.00915182
0.0251189 1.50588 2.68379 0.452899 0.702095 0.00820683
0.0398107 1.70208 2.56929 0.38821 0.719342 0.00901591
0.0630957 1.80578 2.06268 0.34948 0.764842 0.00799088
0.1 2.08188 2.12606 0.345332 0.772274 0.00895809
0.15849 2.32201 1.75923 0.418794 0.754205 0.00799034
0.251189 2.70238 2.2268 0.486111 0.819931 0.0116086
0.398107 2.7697 2.36687 0.486487 0.922995 0.0196397
0.630957 3.1435 2.20653 0.510686 0.973978 0.0145252
1 3.61768 2.55379 0.607288 1.09525 0.0188299
1.5849 4.19525 2.60262 0.639096 1.21966 0.0223221
2.51189 4.86551 2.81304 0.739827 1.39561 0.0296249
3.98105 5.66527 3.2421 0.814451 1.57568 0.0385542
6.30957 6.71671 3.66794 0.930607 1.81711 0.0486203
10.0001 7.86706 4.428 1.06385 2.10928 0.0819917
15.849 9.24578 5.30072 1.26392 2.49305 0.109333
25.1188 10.8202 6.01502 1.66619 2.75274 0.595242
39.8105 12.7905 9.51545 2.42166 3.15306 0.509294
63.0957 16.6869 8.67796 2.58296 3.16224 1.06437749081192
100 27.0665 -2.22331 -5.66627 22.1316 2.27679695251789
